Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/13/2021,11/14/2021,WNYC WQXR NJPR NYPR RADIO,Gifts & Donations,Sale,-5.00,
11/13/2021,11/14/2021,BJS FUEL #9209,Gas,Sale,-100.00,
11/13/2021,11/14/2021,110 GRILL MAYNARD,Food & Drink,Sale,-49.07,
11/12/2021,11/14/2021,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
11/13/2021,11/14/2021,LOWES #02375*,Home,Sale,-10.18,
11/10/2021,11/12/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
11/11/2021,11/12/2021,WECK JARS,Shopping,Sale,-76.26,
11/10/2021,11/11/2021,AMZN Mktp US*1W7G505Q3,Shopping,Sale,-18.48,
11/09/2021,11/10/2021,BJS FUEL #9209,Gas,Sale,-58.24,
11/08/2021,11/10/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
11/10/2021,11/10/2021,Payment Thank You - Bill,,Payment,2617.26,
11/09/2021,11/10/2021,BJS WHOLESALE #0209,Shopping,Sale,-96.88,
11/08/2021,11/09/2021,WWW.ADVANCEAUTOPARTS,Automotive,Sale,-10.08,
11/06/2021,11/08/2021,SHAWS OSCO 2584,Groceries,Sale,-79.85,
11/06/2021,11/08/2021,SHAWS OSCO 2584,Groceries,Sale,-32.35,
11/06/2021,11/07/2021,Etsy.com - CapellaDesignU,Shopping,Sale,-25.40,
11/04/2021,11/07/2021,GRABULL INC,Food & Drink,Sale,-53.99,
11/05/2021,11/07/2021,GIGI'S RESTAURANT,Food & Drink,Sale,-42.97,
11/06/2021,11/07/2021,THE GEEK PUB,Shopping,Sale,-6.99,
11/04/2021,11/05/2021,AMZN Mktp US*GN62T0NS3,Shopping,Sale,-23.05,
11/04/2021,11/05/2021,AMZN Mktp US*OK0083CP3,Shopping,Sale,-5.90,
11/04/2021,11/05/2021,AMZN Mktp US*3R0KZ33X3,Shopping,Sale,-10.14,
11/04/2021,11/05/2021,110 GRILL MAYNARD,Food & Drink,Sale,-31.75,
11/03/2021,11/05/2021,SHAWS OSCO 2584,Groceries,Sale,-70.65,
11/03/2021,11/04/2021,Wikimedia 877 600 9454,Gifts & Donations,Sale,-5.35,
11/02/2021,11/04/2021,AUTO MACHINE SERVICE,Automotive,Sale,-6.68,
11/01/2021,11/03/2021,FILTERS FAST,Shopping,Sale,-88.47,
11/02/2021,11/03/2021,USPS PO 2479390775,Shopping,Sale,-9.30,
10/31/2021,11/02/2021,SHAWS OSCO 2584,Groceries,Sale,-106.79,
10/31/2021,11/01/2021,AMZN Mktp US*RT6PP7OG3,Shopping,Sale,-10.40,
10/29/2021,11/01/2021,GRABULL INC,Food & Drink,Sale,-25.00,
10/28/2021,10/31/2021,EL HUIPIL MEXICAN RESTAUR,Food & Drink,Sale,-55.87,
10/30/2021,10/31/2021,RMV E-SERVICES,Bills & Utilities,Sale,-20.00,
10/29/2021,10/31/2021,MARKET BASKET 00000877,Groceries,Sale,-11.99,
10/29/2021,10/29/2021,AMZN Mktp US*SY9T88Q23,Shopping,Sale,-18.05,
10/28/2021,10/29/2021,AMZN Mktp US*BI9QI5ST3,Shopping,Sale,-31.86,
10/28/2021,10/29/2021,WHOLEFDS HGM 10159,Groceries,Sale,-33.09,
10/27/2021,10/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
10/27/2021,10/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-25.00,
10/27/2021,10/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
10/27/2021,10/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
10/26/2021,10/27/2021,MARKET BASKET 00000877,Groceries,Sale,-113.39,
10/22/2021,10/26/2021,THE HOME DEPOT 2607,Home,Return,39.29,
10/25/2021,10/26/2021,AMZN Mktp US*IS7ZQ2FV3,Shopping,Sale,-89.08,
10/24/2021,10/26/2021,THE HOME DEPOT 2607,Home,Sale,-30.43,
10/23/2021,10/25/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-25.50,
10/23/2021,10/25/2021,SHAWS OSCO 2584,Groceries,Sale,-74.46,
10/23/2021,10/24/2021,TST* CHILL KITCHEN AND BA,Food & Drink,Sale,-59.22,
10/22/2021,10/24/2021,TJ MAXX #400,Shopping,Sale,-29.99,
10/23/2021,10/24/2021,SP * BROOKLYN BEDDING,Home,Sale,-69.98,
10/21/2021,10/22/2021,LOWES #02375*,Home,Return,21.10,
10/21/2021,10/22/2021,LOWES #02375*,Home,Sale,-70.06,
10/21/2021,10/22/2021,BJS FUEL #9209,Gas,Sale,-54.77,
10/21/2021,10/22/2021,MARKET BASKET 00000737,Groceries,Sale,-63.37,
10/20/2021,10/21/2021,COLORWORKS 4 MAYNARD,Home,Sale,-55.24,
10/19/2021,10/21/2021,EDDIEBAUER.COM,Shopping,Sale,-65.00,
10/20/2021,10/21/2021,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
10/20/2021,10/21/2021,110 GRILL MAYNARD,Food & Drink,Sale,-67.17,
10/19/2021,10/21/2021,EL HUIPIL MEXICAN REST,Food & Drink,Sale,-40.85,
10/19/2021,10/20/2021,CVS/PHARMACY #00973,Health & Wellness,Sale,-23.02,
10/18/2021,10/19/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
10/18/2021,10/19/2021,GEICO  *AUTO,Bills & Utilities,Sale,-578.25,
10/18/2021,10/18/2021,LANDS END,Shopping,Sale,-164.83,
10/16/2021,10/18/2021,SHAWS OSCO 2584,Groceries,Sale,-43.13,
10/16/2021,10/18/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-25.50,
10/16/2021,10/17/2021,KINDLES PI* BKINDLES W,Food & Drink,Sale,-64.63,
10/15/2021,10/17/2021,ATLANTIC SEA GRILL &amp; FISH,Food & Drink,Sale,-77.02,
